HHNR	ZPERS	AUSB	EINK	AUTOS	ZGDE
33000066800	3	0	11	1	33
34000003101	1	0	5	1	4183
34000033200	1	0	11	1	34
35000006000	2	0	19	1	35
35000028600	2	0	11	1	35
35000034100	3	0	5	0	35
35000037300	4	0	9	1	35
35000039400	3	0	11	1	35
35000056600	1	0	15	0	35
35000068300	1	0	5	2	35
36000022400	2	0	9	0	36
36000027600	2	0	9	2	36
37000009600	1	0	11	1	37
37000013400	1	0	7	0	37
37000029300	2	0	7	1	37
37000037900	3	0	11	3	37
38000020800	1	0	7	0	38
38000059000	1	0	9	2	38
39000016600	2	0	5	1	39
39000032700	2	0	17	2	39
40000017000	1	0	11	2	40
43000008700	2	0	7	1	43
43000010800	2	0	5	0	43
43000011300	3	0	5	0	43
51000005300	3	0	9	1	53
51000018100	2	0	7	1	51
51000019100	1	0	7	1	51
51000020900	2	0	11	3	51
51000026000	2	0	15	1	51
51000030100	6	0	5	1	51
51000047600	4	0	11	2	51
51000051800	2	0	7	1	51
51000088500	4	0	13	0	51
51000090300	2	0	9	2	51
51000097900	6	0	11	2	51
51000126400	1	0	5	0	51
51000131100	4	0	13	1	51
51000152900	1	0	13	1	51
51000159900	1	0	7	1	51
51000161000	4	0	7	0	51
52000000700	2	0	5	2	52
52000003600	3	0	9	1	52
52000035200	2	0	9	1	52
52000045100	2	0	7	1	52
52000049000	1	0	9	1	52
52000054200	5	0	9	1	52
52000066300	1	0	11	1	52
52000074400	1	0	13	2	52
52000084500	2	0	3	1	52
52000145700	1	0	5	1	52
52000153100	1	0	13	2	52
52000159600	6	0	9	1	52
52000160600	1	0	5	0	52
52000169500	1	0	9	0	52
52000181900	2	0	11	0	52
52000199200	2	0	9	2	52
52000222300	3	0	5	1	52
52000231500	1	0	9	1	52
52000250700	2	0	15	2	52
52000256200	2	0	7	1	52
52000259300	1	0	9	3	52
52000266100	7	0	5	1	52
52000269400	2	0	9	2	52
52000279500	4	0	9	0	52
52000291100	2	0	17	2	52
52000296400	6	0	7	1	52
52000304000	3	0	11	0	52
52000319800	5	0	7	1	52
52000350800	2	0	13	2	52
52000373400	2	0	17	1	52
52000384700	4	0	7	1	52
52000386000	4	0	9	1	52
52000391400	1	0	13	1	52
52000410500	4	0	11	1	52
52000417600	2	0	9	1	52
52000440800	2	0	3	2	52
52000447700	2	0	7	0	52
